#;qubits;operation;library;performance
19;10000;build;paulie;0.15464550000615418
20;10000;build;paulie;0.193147600046359
21;10000;build;paulie;0.18394280003849417
22;10000;build;paulie;0.1345309999305755
23;10000;build;paulie;0.15862580004613847
24;10000;build;paulie;0.21658290002960712
25;10000;build;paulie;0.2331547000212595
26;10000;build;paulie;0.1840048999292776
27;10000;build;paulie;0.1733810999430716
28;10000;build;paulie;0.16711579996626824
29;10000;build;paulie;0.15244820003863424
30;10000;build;paulie;0.16541090002283454
1;12000;build;paulie;0.3752986000617966
2;12000;build;paulie;0.21888910001143813
3;12000;build;paulie;0.20073419995605946
4;12000;build;paulie;0.19814780005253851
5;12000;build;paulie;0.1996555000077933
6;12000;build;paulie;0.31106620002537966
7;12000;build;paulie;0.17838629998732358
8;12000;build;paulie;0.2585349000291899
9;12000;build;paulie;0.19648699997924268
10;12000;build;paulie;0.24409189994912595
11;12000;build;paulie;0.201671399991028
12;12000;build;paulie;0.16719509998802096
13;12000;build;paulie;0.37822509999386966
14;12000;build;paulie;0.20047320006415248
15;12000;build;paulie;0.17904010007623583
16;12000;build;paulie;0.16416829999070615
17;12000;build;paulie;0.24753219995182008
18;12000;build;paulie;0.22542549995705485
19;12000;build;paulie;0.19076000002678484
20;12000;build;paulie;0.18994429998565465
21;12000;build;paulie;0.19866869994439185
22;12000;build;paulie;0.22385780001059175
23;12000;build;paulie;0.2069372000405565
24;12000;build;paulie;0.18656320008449256
25;12000;build;paulie;0.3350974000059068
26;12000;build;paulie;0.19174149993341416
27;12000;build;paulie;0.21200019994284958
28;12000;build;paulie;0.18258180003613234
29;12000;build;paulie;0.18530760006979108
30;12000;build;paulie;0.17766849999316037
1;10;build;pauliarray;0.1168527000118047
2;10;build;pauliarray;0.031410599942319095
3;10;build;pauliarray;0.023324099951423705
4;10;build;pauliarray;0.022073799977079034
5;10;build;pauliarray;0.024963099975138903
6;10;build;pauliarray;0.025149299995973706
7;10;build;pauliarray;0.02188769995700568
8;10;build;pauliarray;0.042660299921408296
9;10;build;pauliarray;0.018134600017219782
10;10;build;pauliarray;0.02217029989697039
11;10;build;pauliarray;0.03454090002924204
12;10;build;pauliarray;0.060493199969641864
13;10;build;pauliarray;0.020842200028710067
14;10;build;pauliarray;0.027089000097475946
15;10;build;pauliarray;0.02167889999691397
16;10;build;pauliarray;0.029858099995180964
17;10;build;pauliarray;0.021191100007854402
18;10;build;pauliarray;0.019962099962867796
19;10;build;pauliarray;0.026897900039330125
20;10;build;pauliarray;0.02161199995316565
21;10;build;pauliarray;0.024331600056029856
22;10;build;pauliarray;0.021381600061431527
23;10;build;pauliarray;0.024984800023958087
24;10;build;pauliarray;0.025400400045327842
25;10;build;pauliarray;0.027879800065420568
26;10;build;pauliarray;0.03018620004877448
27;10;build;pauliarray;0.027662000036798418
28;10;build;pauliarray;0.02202409994788468
29;10;build;pauliarray;0.02187450008932501
30;10;build;pauliarray;0.020002200035378337
1;100;build;pauliarray;0.038907799986191094
2;100;build;pauliarray;0.10802030004560947
3;100;build;pauliarray;0.06195809994824231
4;100;build;pauliarray;0.0589378000004217
5;100;build;pauliarray;0.04114990006200969
6;100;build;pauliarray;0.04222009994555265
7;100;build;pauliarray;0.04817540000658482
8;100;build;pauliarray;0.05037579999770969
9;100;build;pauliarray;0.03818999999202788
10;100;build;pauliarray;0.04453419998753816
11;100;build;pauliarray;0.07210300001315773
12;100;build;pauliarray;0.060198099934495986
13;100;build;pauliarray;0.04455980006605387
14;100;build;pauliarray;0.05446329992264509
15;100;build;pauliarray;0.041405299911275506
16;100;build;pauliarray;0.0425503000151366
